prediction_source,cod_linha,hour,pred_atraso_aproximado_min,real_atraso_aproximado_min,n_registros
llama_3_3_70b_v2_retry2,619,20,1.6401259120456768,3.293809523809524,9
llama_3_3_70b_v2_retry2,636,20,1.6366455294518096,2.8697222222222223,13
llama_3_3_70b_v2_retry2,641,22,1.6354424275028259,5.591765873015873,8
llama_3_3_70b_v2_retry2,901,23,1.6331746145685007,0.11524134053081414,10
llama_3_3_70b_v2_retry2,870,23,1.6312350939656548,0.15091919191919193,15
llama_3_3_70b_v2_retry2,334,23,1.630600172744638,6.65625,5
llama_3_3_70b_v2_retry2,643,22,1.6267162886877238,2.295138888888889,8
llama_3_3_70b_v2_retry2,640,20,1.6236625865782406,1.4934814814814816,15
llama_3_3_70b_v2_retry2,686,21,1.6197510944537576,0.41795454545454547,22
llama_3_3_70b_v2_retry2,262,17,1.6191554765584144,0.48822916666666677,8
llama_3_3_70b_v2_retry2,820,23,1.6173629808424257,0.4616868686868687,15
llama_3_3_70b_v2_retry2,744,19,1.611275684940752,1.2347222222222223,12
llama_3_3_70b_v2_retry2,525,18,1.6112106839069742,7.891203703703703,9
llama_3_3_70b_v2_retry2,214,23,1.6102083546537322,1.2211805555555557,8
llama_3_3_70b_v2_retry2,122,22,1.6079610839533507,0.8517947330447329,22
llama_3_3_70b_v2_retry2,305,23,1.590192969196505,2.3302266483516485,5
llama_3_3_70b_v2_retry2,386,23,1.585561753914555,0.45213243546576876,9
llama_3_3_70b_v2_retry2,338,20,1.5850977335568166,1.5161018075491761,19
llama_3_3_70b_v2_retry2,622,20,1.5818729362532538,1.9522569444444446,16
llama_3_3_70b_v2_retry2,217,22,1.581218438922418,0.2077777777777778,6
llama_3_3_70b_v2_retry2,675,20,1.5772087863141342,4.0506746031746035,14
llama_3_3_70b_v2_retry2,522,22,1.5766406762902878,0.661875,5
llama_3_3_70b_v2_retry2,666,21,1.5691998944711303,2.6988425925925927,21
llama_3_3_70b_v2_retry2,622,23,1.5611118711038234,0.39999999999999974,6
llama_3_3_70b_v2_retry2,359,20,1.5607869105559458,1.211892361111111,16
llama_3_3_70b_v2_retry2,405,23,1.5586936421680093,0.7756507381507382,13
llama_3_3_70b_v2_retry2,353,21,1.546088390880833,1.8466269841269842,12
llama_3_3_70b_v2_retry2,622,22,1.5457095518858108,1.1687499999999997,8
llama_3_3_70b_v2_retry2,686,20,1.542536537043995,0.8915476190476191,14
llama_3_3_70b_v2_retry2,666,22,1.5420579215973886,1.0981617647058826,17
llama_3_3_70b_v2_retry2,265,18,1.5383616476758937,1.4727430555555552,16
llama_3_3_70b_v2_retry2,630,20,1.534102542781687,5.140972222222222,6
llama_3_3_70b_v2_retry2,212,22,1.5256141710911448,0.4900326797385621,17
llama_3_3_70b_v2_retry2,675,22,1.51917478988764,2.4234343434343435,11
llama_3_3_70b_v2_retry2,376,23,1.5190430075178123,2.0027777777777778,11
llama_3_3_70b_v2_retry2,433,20,1.513861828677981,4.99187074829932,7
llama_3_3_70b_v2_retry2,342,22,1.504694639786501,10.077696573578924,15
llama_3_3_70b_v2_retry2,205,21,1.5012706959592552,1.2823809523809524,7
llama_3_3_70b_v2_retry2,220,23,1.4974287096594112,0.3606386999244142,21
llama_3_3_70b_v2_retry2,206,21,1.4957882945536607,0.8969100729517395,18
llama_3_3_70b_v2_retry2,340,23,1.4936112583977146,6.380989502164502,10
llama_3_3_70b_v2_retry2,344,21,1.4889588237708646,1.2271298076923076,20
llama_3_3_70b_v2_retry2,335,23,1.4882157469061428,14.095389702889703,13
llama_3_3_70b_v2_retry2,632,21,1.4860256425088718,0.8491666666666665,10
llama_3_3_70b_v2_retry2,745,20,1.4840277558332213,0.4865079365079364,7
llama_3_3_70b_v2_retry2,610,22,1.481742203640537,1.2557561728395061,12
llama_3_3_70b_v2_retry2,206,20,1.4794730136292045,0.6832531665864998,18
llama_3_3_70b_v2_retry2,601,22,1.4772021884489626,1.128282828282828,11
llama_3_3_70b_v2_retry2,701,21,1.4759886385598924,2.0104938271604937,9
llama_3_3_70b_v2_retry2,466,23,1.4693911535085333,1.1551372989150768,15
llama_3_3_70b_v2_retry2,656,20,1.4673589807254361,5.555,5
llama_3_3_70b_v2_retry2,205,22,1.4671466011138408,2.5192222222222225,10
llama_3_3_70b_v2_retry2,342,23,1.4597645602906482,1.4133333333333336,5
llama_3_3_70b_v2_retry2,351,22,1.4574386988792898,1.3411564625850338,7
llama_3_3_70b_v2_retry2,304,23,1.4513359487076227,0.33358843537414967,7
